i,j,f_learnt
0,0,"[2.0763937234464374, -103.44369317908028, -2.0763937234464445, 103.44369317908028]"
0,1,"[2.0766606303380786, -103.45699019221155, -2.0766606303380857, 103.45699019221155]"
0,2,"[2.0655768777811487, -102.90480960823787, -2.065576877781156, 102.90480960823787]"
0,3,"[2.0749764614907047, -103.37308671882772, -2.074976461490712, 103.37308671882772]"
0,4,"[2.075717516373145, -103.41000527286803, -2.0757175163731523, 103.41000527286803]"
0,5,"[2.067613994590064, -103.00629656794686, -2.067613994590071, 103.00629656794686]"
0,6,"[2.065167978051183, -102.88443866522744, -2.06516797805119, 102.88443866522744]"
0,7,"[2.0650358186409115, -102.87785462611555, -2.0650358186409186, 102.87785462611555]"
0,8,"[1.8181653888548979, -90.57903638879927, -1.818165388854904, 90.57903638879927]"
0,9,"[1.3708973353188494, -68.29662492880288, -1.370897335318854, 68.29662492880288]"
0,10,"[0.9767468883254865, -48.66047526952535, -0.9767468883254898, 48.66047526952535]"
0,11,"[0.8301934936726538, -41.35934339861149, -0.8301934936726567, 41.35934339861149]"
0,12,"[0.505818367825032, -25.199324894311417, -0.5058183678250338, 25.199324894311417]"
0,13,"[0.1399414462406622, -6.971731740706759, -0.13994144624066268, 6.971731740706759]"
0,14,"[-0.02805559610431557, 1.3976995030373796, 0.028055596104315662, -1.3976995030373796]"
0,15,"[-0.3869199266129522, 19.275932941556572, 0.38691992661295355, -19.275932941556572]"
0,16,"[-0.6176563993998652, 30.77097486288144, 0.6176563993998673, -30.77097486288144]"
0,17,"[-0.6598205306939594, 32.87154635445254, 0.6598205306939617, -32.87154635445254]"
0,18,"[-0.8395556018546991, 41.825753518887424, 0.839555601854702, -41.825753518887424]"
0,19,"[-0.8523568326602031, 42.46349701464467, 0.8523568326602061, -42.46349701464467]"
0,20,"[-0.91603439497214, 45.63584440897915, 0.9160343949721432, -45.63584440897915]"
0,21,"[-0.9452655589952209, 47.09210943633246, 0.9452655589952242, -47.09210943633246]"
0,22,"[-0.9540825308042015, 47.531361451149245, 0.9540825308042048, -47.531361451149245]"
0,23,"[-1.0038209995274436, 50.00927825455027, 1.0038209995274472, -50.00927825455027]"
0,24,"[-0.8781425076171345, 43.74811149721639, 0.8781425076171376, -43.74811149721639]"
0,25,"[-0.8550881517077283, 42.59956838027056, 0.8550881517077313, -42.59956838027056]"
0,26,"[-0.8762667345367466, 43.654662507841124, 0.8762667345367496, -43.654662507841124]"
0,27,"[-0.8188951235411974, 40.79647079882239, 0.8188951235412003, -40.79647079882239]"
0,28,"[-0.6965262256629436, 34.70018444241315, 0.6965262256629461, -34.70018444241315]"
0,29,"[-0.6453023503411777, 32.148266286239384, 0.6453023503411799, -32.148266286239384]"
0,30,"[-0.5375392142222111, 26.779623209143605, 0.537539214222213, -26.779623209143605]"
0,31,"[-0.5290963440806083, 26.359008535434633, 0.5290963440806101, -26.359008535434633]"
0,32,"[-0.5220546831414954, 26.008200591145687, 0.5220546831414972, -26.008200591145687]"
0,33,"[-0.4143618814049888, 20.64306149703588, 0.4143618814049902, -20.64306149703588]"
0,34,"[-0.3480935936098016, 17.34164695663252, 0.34809359360980274, -17.34164695663252]"
0,35,"[-0.3185009946408594, 15.867375630559623, 0.3185009946408605, -15.867375630559623]"
0,36,"[-0.33798506049582755, 16.83805075224943, 0.3379850604958287, -16.83805075224943]"
0,37,"[-0.27429016672964873, 13.6648399235794, 0.2742901667296497, -13.6648399235794]"
0,38,"[-0.21188183699412735, 10.555724325664388, 0.21188183699412808, -10.555724325664388]"
0,39,"[-0.18323059977846445, 9.128350625642446, 0.18323059977846506, -9.128350625642446]"
0,40,"[-0.22099918676065317, 11.00994084597318, 0.22099918676065394, -11.00994084597318]"
0,41,"[-0.3232487749999733, 16.103904921321806, 0.3232487749999744, -16.103904921321806]"
0,42,"[-0.3372848378809747, 16.803166417688992, 0.33728483788097585, -16.803166417688992]"
0,43,"[-0.3615120965593045, 18.010142284063505, 0.3615120965593058, -18.010142284063505]"
0,44,"[-0.40549661798772674, 20.201403646440554, 0.4054966179877281, -20.201403646440554]"
0,45,"[-0.437751686484209, 21.808316329398487, 0.4377516864842105, -21.808316329398487]"
0,46,"[-0.48567822691945695, 24.19596482204067, 0.4856782269194586, -24.19596482204067]"
0,47,"[-0.5031849432673984, 25.068130526463904, 0.5031849432674002, -25.068130526463904]"
0,48,"[-0.47998883791460334, 23.912525605311746, 0.479988837914605, -23.912525605311746]"
0,49,"[-0.621077284358734, 30.941399657606212, 0.6210772843587362, -30.941399657606212]"
0,50,"[-0.6152266157401096, 30.649925664671525, 0.6152266157401117, -30.649925664671525]"
0,51,"[-0.638631065665176, 31.815910087440454, 0.6386310656651782, -31.815910087440454]"
0,52,"[-0.6595251244446946, 32.85682953409854, 0.6595251244446969, -32.85682953409854]"
0,53,"[-0.750948102896434, 37.411423600575624, 0.7509481028964367, -37.411423600575624]"
0,54,"[-0.7959107966658311, 39.65141645273396, 0.7959107966658339, -39.65141645273396]"
0,55,"[-0.8021837578183768, 39.9639286037104, 0.8021837578183796, -39.9639286037104]"
0,56,"[-0.7848998502233319, 39.10286299076403, 0.7848998502233346, -39.10286299076403]"
0,57,"[-0.8456597903630959, 42.129857598975754, 0.8456597903630989, -42.129857598975754]"
0,58,"[-0.8387448902267871, 41.78536474100418, 0.83874489022679, -41.78536474100418]"
0,59,"[-0.9159528106629855, 45.63177996679311, 0.9159528106629887, -45.63177996679311]"
0,60,"[-0.9116618587925466, 45.41800937804603, 0.9116618587925497, -45.41800937804603]"
0,61,"[-0.9546569209756567, 47.559976949255486, 0.95465692097566, -47.559976949255486]"
0,62,"[-0.9512389697458885, 47.38969830974662, 0.9512389697458917, -47.38969830974662]"
0,63,"[-0.9707439094994837, 48.361413346526064, 0.9707439094994871, -48.361413346526064]"
0,64,"[-0.988797011103658, 49.260799374419314, 0.9887970111036615, -49.260799374419314]"
0,65,"[-0.9609281411678865, 47.87240236746891, 0.9609281411678898, -47.87240236746891]"
0,66,"[-1.0256469709715899, 51.09662458386596, 1.0256469709715934, -51.09662458386596]"
0,67,"[-1.0151780076418748, 50.57507213533294, 1.0151780076418784, -50.57507213533294]"
0,68,"[-1.0276581643817337, 51.19682006784065, 1.0276581643817373, -51.19682006784065]"
0,69,"[-0.98994314996773, 49.31789877500837, 0.9899431499677335, -49.31789877500837]"
0,70,"[-0.9782647705069102, 48.73609452077052, 0.9782647705069136, -48.73609452077052]"
0,71,"[-1.04533848452355, 52.07763452581458, 1.0453384845235536, -52.07763452581458]"
0,72,"[-0.9883325651492408, 49.23766117848639, 0.9883325651492443, -49.23766117848639]"
0,73,"[-0.979978806283367, 48.82148593231046, 0.9799788062833704, -48.82148593231046]"
0,74,"[-0.9609213933034574, 47.8720661961495, 0.9609213933034607, -47.8720661961495]"
0,75,"[-0.9411894788585892, 46.88904352534173, 0.9411894788585924, -46.88904352534173]"
0,76,"[-0.9285989942533175, 46.261799177712945, 0.9285989942533207, -46.261799177712945]"
0,77,"[-0.8778921878200591, 43.7356408352254, 0.8778921878200621, -43.7356408352254]"
0,78,"[-0.8580072461694872, 42.74499451427069, 0.8580072461694901, -42.74499451427069]"
0,79,"[-0.8554335213031992, 42.61677432058133, 0.855433521303202, -42.61677432058133]"
0,80,"[-0.8774687169242567, 43.71454397246714, 0.8774687169242597, -43.71454397246714]"
0,81,"[-0.8707596845226407, 43.38030722273871, 0.8707596845226437, -43.38030722273871]"
0,82,"[-0.85726992626383, 42.70826203274063, 0.857269926263833, -42.70826203274063]"
0,83,"[-0.8347034552929262, 41.58402481660506, 0.8347034552929291, -41.58402481660506]"
0,84,"[-0.796045709369401, 39.65813765794492, 0.7960457093694037, -39.65813765794492]"
0,85,"[-0.8028984758380422, 39.999535083686226, 0.802898475838045, -39.999535083686226]"
0,86,"[-0.7976409046466776, 39.737608564141574, 0.7976409046466804, -39.737608564141574]"
0,87,"[-0.7621192268539416, 37.96795693338104, 0.7621192268539443, -37.96795693338104]"
0,88,"[-0.7778460053995943, 38.751448058499435, 0.7778460053995969, -38.751448058499435]"
0,89,"[-0.7562576646061409, 37.675940231603896, 0.7562576646061435, -37.675940231603896]"
0,90,"[-0.7702097172307305, 38.37101642771226, 0.7702097172307332, -38.37101642771226]"
0,91,"[-0.7327375649647399, 36.504194264847584, 0.7327375649647423, -36.504194264847584]"
0,92,"[-0.7106022643073476, 35.40143748814659, 0.7106022643073501, -35.40143748814659]"
