i,j,goalCurrent
0,0,"[39.514937521951275, -2.741240118116067, -108.13398275205789, -2.3012158918161396]"
0,1,"[39.44313914711801, -2.7788810984918344, -108.13790449646018, -2.30119573032931]"
0,2,"[39.68677753303998, -2.7332164825613967, -107.84521496102298, -2.212932181431128]"
0,3,"[39.537452617176335, -2.740188832577734, -107.98315348726284, -2.212103828973666]"
0,4,"[39.52567997262206, -2.740738526498374, -107.99402843891019, -2.2120385223971253]"
0,5,"[39.65441521727205, -2.7347275592063642, -107.87510957115498, -2.2127526574472003]"
0,6,"[39.625507861577624, -2.7705002737162987, -107.83921437335079, -2.212968216335081]"
0,7,"[39.62760500513972, -2.7704038986731607, -107.83727493913275, -2.2129798630819644]"
0,8,"[43.617238807622996, -2.54969351471941, -104.21446096043874, -2.234735691159749]"
0,9,"[50.642394254852285, -2.264215000457601, -97.65081962851339, -2.2741518613582214]"
0,10,"[56.89688699747344, -1.976787368524722, -91.86667711167259, -2.3088869625568638]"
0,11,"[59.31248922320783, -1.816843414931342, -89.71601173132083, -2.3218022009717947]"
0,12,"[64.4656204545635, -1.5762309597538122, -84.95581934505566, -2.3503882470072295]"
0,13,"[70.27806302864168, -1.3048336256790445, -79.586589716597, -2.3826317012375244]"
0,14,"[72.94691996833798, -1.180218087679447, -77.12123963836291, -2.397436693370449]"
0,15,"[78.64795818614606, -0.9140224988108793, -71.85491951185656, -2.4290621524607197]"
0,16,"[82.19733728989046, -0.8140953943491563, -68.46887072613708, -2.449396151302046]"
0,17,"[82.8664098615176, -0.7833479056609784, -67.85011373533774, -2.453111928814479]"
0,18,"[85.83867920218883, -0.5782699319755997, -65.2125085396604, -2.468951352398384]"
0,19,"[86.0420438162025, -0.5687743346625876, -65.02465097426924, -2.4700794801244546]"
0,20,"[87.05364676889124, -0.5215400883018086, -64.09018521799051, -2.4756911611154577]"
0,21,"[87.39593373126368, -0.5751918851426845, -63.66121902010237, -2.4782672014275797]"
0,22,"[87.53584397774907, -0.5687622556770687, -63.53183030089849, -2.4790442103346777]"
0,23,"[88.44825399238442, -0.4564224243053616, -62.801920202205885, -2.483427487729759]"
0,24,"[86.45168363243354, -0.5496472374673748, -64.64624719474408, -2.4723518815283767]"
0,25,"[85.96497267634064, -0.6409522536217973, -64.98456897322025, -2.470320181725189]"
0,26,"[86.3010405245786, -0.6255081257344036, -64.67377409191997, -2.4721865762032906]"
0,27,"[85.51045996597628, -0.5935953007108371, -65.51570025729761, -2.467130616660276]"
0,28,"[83.44886639441668, -0.7565808905177397, -67.31145908582553, -2.45634667341274]"
