i,j,x,y,yaw
0,0,-0.00259,0.13773,-0.01888
0,1,-0.00259,0.13773,-0.01888
0,2,-0.00262,0.13747,-0.01491
0,3,-0.00262,0.13747,-0.01491
0,4,-0.00262,0.13747,-0.01491
0,5,-0.00259,0.13697,-0.01892
0,6,-0.00259,0.13697,-0.01892
0,7,-0.00259,0.13697,-0.01892
0,8,-0.00366,0.13507,-0.01169
0,9,-0.00366,0.13507,-0.01169
0,10,-0.00366,0.13507,-0.01169
0,11,-0.00366,0.13507,-0.01169
0,12,-0.00366,0.13507,-0.01169
0,13,-0.00366,0.13507,-0.01169
0,14,-0.00366,0.13507,-0.01169
0,15,-0.00366,0.13507,-0.01169
0,16,-0.00366,0.13507,-0.01169
0,17,-0.00366,0.13507,-0.01169
0,18,-0.00366,0.13507,-0.01169
0,19,-0.00366,0.13507,-0.01169
0,20,-0.00403,0.13447,0.01216
0,21,-0.00403,0.13447,0.01216
0,22,-0.00403,0.13447,0.01216
0,23,-0.00403,0.13447,0.01216
0,24,-0.00403,0.13447,0.01216
0,25,-0.00403,0.13447,0.01216
0,26,-0.00443,0.13444,-0.04506
0,27,-0.00443,0.13444,-0.04506
0,28,-0.00443,0.13444,-0.04506
0,29,-0.00443,0.13444,-0.04506
0,30,-0.00403,0.13447,0.01216
0,31,-0.00403,0.13447,0.01216
0,32,-0.00403,0.13447,0.01216
0,33,-0.00366,0.13507,-0.01169
0,34,-0.00366,0.13507,-0.01169
0,35,-0.00366,0.13507,-0.01169
0,36,-0.0036,0.13491,-0.00566
0,37,-0.0036,0.13491,-0.00566
0,38,-0.0036,0.13491,-0.00566
0,39,-0.00424,0.13344,-0.08308
0,40,-0.00424,0.13344,-0.08308
0,41,-0.00424,0.13344,-0.08308
0,42,-0.00372,0.13406,-0.04899
0,43,-0.00372,0.13406,-0.04899
0,44,-0.00372,0.13406,-0.04899
0,45,-0.00372,0.13406,-0.04899
0,46,-0.00372,0.13406,-0.04899
0,47,-0.00372,0.13406,-0.04899
0,48,-0.0035,0.13443,-0.0301
0,49,-0.0035,0.13443,-0.0301
0,50,-0.0035,0.13443,-0.0301
0,51,-0.0031,0.13483,-0.00849
0,52,-0.0031,0.13483,-0.00849
0,53,-0.0031,0.13483,-0.00849
0,54,-0.0031,0.13483,-0.00849
0,55,-0.0031,0.13483,-0.00849
0,56,-0.0031,0.13483,-0.00849
0,57,-0.0031,0.13483,-0.00849
0,58,-0.00291,0.1353,0.00949
0,59,-0.00291,0.1353,0.00949
0,60,-0.00291,0.1353,0.00949
0,61,-0.00291,0.1353,0.00949
