i,j,f_learnt
0,0,"[1.953294287426117, -103.4460908437297, -1.9532942874261112, 103.4460908437297]"
0,1,"[1.9535453706868833, -103.45938816506515, -1.9535453706868775, 103.45938816506515]"
0,2,"[1.5345629179646447, -102.91409798951995, -1.5345629179646416, 102.91409798951995]"
0,3,"[1.5415460773716594, -103.38241736768082, -1.5415460773716563, 103.38241736768082]"
0,4,"[1.5420966234951188, -103.41933925405912, -1.5420966234951154, 103.41933925405912]"
0,5,"[1.9491554124372725, -103.0086062106104, -1.9491554124372734, 103.0086062106104]"
0,6,"[1.9468495340730585, -102.8867455755511, -1.9468495340730596, 102.8867455755511]"
0,7,"[1.9467249463934873, -102.88016138880963, -1.9467249463934884, 102.88016138880963]"
0,8,"[1.0590581084714097, -90.59109202580312, -1.0590581084714104, 90.59109202580312]"
0,9,"[0.7985301819905807, -68.30571488329518, -0.7985301819905813, 68.30571488329518]"
0,10,"[0.5689425826419577, -48.666951746309294, -0.5689425826419582, 48.666951746309294]"
0,11,"[0.48357710275629945, -41.36484812962443, -0.4835771027562998, 41.36484812962443]"
0,12,"[0.2946327364620326, -25.202678804065588, -0.2946327364620328, 25.202678804065588]"
0,13,"[0.08151410441584259, -6.972659644894141, -0.08151410441584264, 6.972659644894141]"
0,14,"[-0.016342026266921505, 1.397885530163753, 0.01634202626692152, -1.397885530163753]"
0,15,"[-0.225375913610746, 19.27849847614072, 0.22537591361074616, -19.27849847614072]"
0,16,"[-0.35977696090984557, 30.775070332627983, 0.35977696090984584, -30.775070332627983]"
0,17,"[-0.38433702866132086, 32.875921400229174, 0.38433702866132113, -32.875921400229174]"
0,18,"[-0.48903041115352186, 41.8313203268591, 0.4890304111535222, -41.8313203268591]"
0,19,"[-0.49648696453754676, 42.46914870322883, 0.49648696453754715, -42.46914870322883]"
0,20,"[0.5550299728694914, 45.64166249888959, -0.5550299728694946, -45.64166249888959]"
0,21,"[0.5727412861823149, 47.09811318470878, -0.5727412861823182, -47.09811318470878]"
0,22,"[0.5780835349568038, 47.53742119953496, -0.5780835349568071, -47.53742119953496]"
0,23,"[0.6082203301443586, 50.0156539112519, -0.6082203301443622, -50.0156539112519]"
0,24,"[0.5320710825417302, 43.753688921046255, -0.5320710825417332, -43.753688921046255]"
0,25,"[0.5181023291792426, 42.60499937693978, -0.5181023291792456, -42.60499937693978]"
0,26,"[-1.9668096064098626, 43.619136420104645, 1.9668096064098601, -43.619136420104645]"
0,27,"[-1.838037132009234, 40.763270702482686, 1.8380371320092315, -40.763270702482686]"
0,28,"[-1.5633761019976649, 34.671945493211524, 1.5633761019976629, -34.671945493211524]"
0,29,"[-1.4484024232197612, 32.122104083554724, 1.4484024232197594, -32.122104083554724]"
0,30,"[0.325697787248606, 26.7830373292857, -0.3256977872486079, -26.7830373292857]"
0,31,"[0.3205822086072855, 26.3623690316322, -0.3205822086072873, -26.3623690316322]"
0,32,"[0.316315629861505, 26.011516363022103, -0.3163156298615068, -26.011516363022103]"
0,33,"[-0.24136050165370515, 20.645808989899326, 0.24136050165370532, -20.645808989899326]"
0,34,"[-0.20276007071699512, 17.34395504699308, 0.20276007071699528, -17.34395504699308]"
0,35,"[-0.18552275991957679, 15.869487502449987, 0.18552275991957692, -15.869487502449987]"
0,36,"[-0.0953220558596287, 16.841172784046623, 0.09532205585962789, -16.841172784046623]"
0,37,"[-0.07735816061335415, 13.667373593620708, 0.07735816061335349, -13.667373593620708]"
0,38,"[-0.05975711551263753, 10.557681518184594, 0.059757115512637016, -10.557681518184594]"
0,39,"[-0.757663831376648, 9.098697935198517, 0.7576638313766483, -9.098697935198517]"
0,40,"[-0.9138380312821519, 10.974175965645895, 0.9138380312821524, -10.974175965645895]"
0,41,"[-1.3366430369730915, 16.051592720886717, 1.3366430369730922, -16.051592720886717]"
0,42,"[-0.8230236381203277, 16.786387187644365, 0.8230236381203292, -16.786387187644365]"
0,43,"[-0.8821416426662595, 17.99215779750848, 0.8821416426662609, -17.99215779750848]"
0,44,"[-0.9894702171566918, 20.181231020009193, 0.9894702171566935, -20.181231020009193]"
0,45,"[-1.0681772352028553, 21.78653907935639, 1.0681772352028571, -21.78653907935639]"
0,46,"[-1.1851249044765584, 24.17180332474851, 1.1851249044765604, -24.17180332474851]"
0,47,"[-1.2278438166895882, 25.04309810588099, 1.2278438166895904, -25.04309810588099]"
0,48,"[-0.7198033049065348, 23.90650859727238, 0.719803304906536, -23.90650859727238]"
0,49,"[-0.9313830792942928, 30.93361400361207, 0.9313830792942942, -30.93361400361207]"
0,50,"[-0.9226092698326067, 30.642213353049815, 0.9226092698326083, -30.642213353049815]"
0,51,"[-0.27016824236255915, 31.821172094235415, 0.2701682423625611, -31.821172094235415]"
0,52,"[-0.27900732245084603, 32.86226369769135, 0.279007322450848, -32.86226369769135]"
0,53,"[-0.3176831506837403, 37.41761104467684, 0.3176831506837426, -37.41761104467684]"
0,54,"[-0.33670429231096694, 39.65797436738203, 0.3367042923109694, -39.65797436738203]"
0,55,"[-0.3393580230486452, 39.9705382044821, 0.33935802304864765, -39.9705382044821]"
0,56,"[-0.332046191245965, 39.109330180613206, 0.3320461912459674, -39.109330180613206]"
0,57,"[-0.35775024342281403, 42.136825420934876, 0.3577502434228166, -42.136825420934876]"
0,58,"[0.39661703626174727, 41.7918998665553, -0.3966170362617453, -41.7918998665553]"
0,59,"[0.43312632166682197, 45.638916661974605, -0.43312632166681986, -45.638916661974605]"
0,60,"[0.4310972605858834, 45.425112640047146, -0.4310972605858812, -45.425112640047146]"
0,61,"[0.45142832231353675, 47.56741520957697, -0.4514283223135345, -47.56741520957697]"
0,62,"[0.44981207677495433, 47.39710993891878, -0.4498120767749521, -47.39710993891878]"
