i,j,goalCurrent
0,0,"[107.19697589481474, 40.79626617897863, -192.03581684321114, -57.325853130923406]"
0,1,"[107.19155166567141, 40.795248414160206, -192.04079279073065, -57.32655937698156]"
0,2,"[108.0982900789914, 41.23577854701132, -189.71476403167208, -55.882309872089465]"
0,3,"[107.90741930747004, 41.200041046694714, -189.40839205301364, -55.57666590030929]"
0,4,"[107.89237122432917, 41.19722353371604, -189.22845720570075, -55.44566084087309]"
0,5,"[106.0136432795317, 39.98174074800581, -189.26140633053114, -55.56959754562848]"
0,6,"[106.06331282643465, 39.991040576544364, -189.1196083696372, -55.49710784212371]"
0,7,"[106.06599649513552, 39.991543050601976, -189.2139253306403, -55.56317634613654]"
0,8,"[109.82496178192147, 40.10849458482044, -179.1139304355639, -51.3244664324305]"
0,9,"[118.90732128774575, 41.80902119310018, -170.97186371145688, -50.275731482879515]"
0,10,"[126.9110587124812, 43.307593061755995, -163.6326507434338, -49.23892742815875]"
0,11,"[129.88701598578265, 43.8647934814385, -160.93621122965544, -48.87568033938592]"
0,12,"[136.47387477080795, 45.09807747793012, -155.04012934917193, -48.12116766097276]"
0,13,"[143.90348149197231, 46.48915255157061, -148.2362468271178, -47.1648223456621]"
0,14,"[147.31487991944644, 47.127882365518545, -145.20803482847927, -46.79150231091517]"
0,15,"[154.60208685883876, 48.49229535671655, -138.59900675058455, -45.8977155786742]"
0,16,"[159.2874910150014, 49.369562374498614, -134.29718542647504, -45.287041127824075]"
0,17,"[160.2031864565266, 49.570703577618794, -133.5214065374574, -45.18253315665427]"
0,18,"[163.85586175866848, 50.25606629320094, -130.21445654126222, -44.73704199963142]"
0,19,"[164.11601543540118, 50.30487972872576, -129.97892638073114, -44.7053128825146]"
0,20,"[170.92361441706942, 53.980674992462546, -120.86777665874871, -39.43697694222723]"
0,21,"[171.51766626343658, 54.092138769816096, -120.32995175273213, -39.36452461003815]"
0,22,"[171.69684963014603, 54.12575949671814, -120.16772807150026, -39.3426708730504]"
0,23,"[172.7076622394963, 54.31542137947096, -119.25258876177712, -39.219389157150644]"
0,24,"[170.15355457176864, 53.836186292241464, -121.56495042642369, -39.530895734094315]"
0,25,"[169.68503122853215, 53.74827581450317, -121.98912808799265, -39.58803823623467]"
0,26,"[153.49639390812, 43.838080500861416, -137.20924443452188, -49.9594444187785]"
0,27,"[152.33045636919576, 43.61931204985573, -138.2648261167066, -50.101645633030195]"
0,28,"[149.8436080977725, 43.15269705028433, -140.5162944793335, -50.40494905371119]"
0,29,"[148.80260823581187, 42.957371040360705, -141.45876382160742, -50.53191249683287]"
0,30,"[163.1781410464094, 52.50069791667965, -127.83171880124522, -40.37511469637241]"
0,31,"[163.00669758810557, 52.46859787015824, -127.98705937669519, -40.39604118536361]"
0,32,"[162.91694129726537, 52.478358257944784, -128.1166190695555, -40.41349463870951]"
